timestamp,value,__name__,cpu,instance,job
18:56:05.410,3666233000.000000,node_cpu_scaling_frequency_hertz,7,192.168.2.128:9100,node exporter
18:56:05.410,3535676000.000000,node_cpu_scaling_frequency_hertz,8,192.168.2.128:9100,node exporter
18:56:05.410,3776456000.000000,node_cpu_scaling_frequency_hertz,9,192.168.2.128:9100,node exporter
18:56:06.605,3996728000.000000,node_cpu_scaling_frequency_hertz,0,192.168.2.128:9100,node exporter
18:56:06.605,4009731000.000000,node_cpu_scaling_frequency_hertz,1,192.168.2.128:9100,node exporter
18:56:06.605,4019124000.000000,node_cpu_scaling_frequency_hertz,10,192.168.2.128:9100,node exporter
18:56:06.605,4005780000.000000,node_cpu_scaling_frequency_hertz,11,192.168.2.128:9100,node exporter
18:56:06.605,4014780000.000000,node_cpu_scaling_frequency_hertz,2,192.168.2.128:9100,node exporter
18:56:06.605,3995396000.000000,node_cpu_scaling_frequency_hertz,3,192.168.2.128:9100,node exporter
18:56:06.605,4012730000.000000,node_cpu_scaling_frequency_hertz,4,192.168.2.128:9100,node exporter
18:56:06.605,3992207000.000000,node_cpu_scaling_frequency_hertz,5,192.168.2.128:9100,node exporter
18:56:06.605,3991441000.000000,node_cpu_scaling_frequency_hertz,6,192.168.2.128:9100,node exporter
18:56:06.605,4012369000.000000,node_cpu_scaling_frequency_hertz,7,192.168.2.128:9100,node exporter
18:56:06.605,3956579000.000000,node_cpu_scaling_frequency_hertz,8,192.168.2.128:9100,node exporter
18:56:06.605,3671498000.000000,node_cpu_scaling_frequency_hertz,9,192.168.2.128:9100,node exporter
18:56:07.682,4067510000.000000,node_cpu_scaling_frequency_hertz,0,192.168.2.128:9100,node exporter
18:56:07.682,3845705000.000000,node_cpu_scaling_frequency_hertz,1,192.168.2.128:9100,node exporter
18:56:07.682,3853720000.000000,node_cpu_scaling_frequency_hertz,10,192.168.2.128:9100,node exporter
18:56:07.682,4078963000.000000,node_cpu_scaling_frequency_hertz,11,192.168.2.128:9100,node exporter
18:56:07.682,3849213000.000000,node_cpu_scaling_frequency_hertz,2,192.168.2.128:9100,node exporter
18:56:07.682,3748828000.000000,node_cpu_scaling_frequency_hertz,3,192.168.2.128:9100,node exporter
18:56:07.682,3873632000.000000,node_cpu_scaling_frequency_hertz,4,192.168.2.128:9100,node exporter
18:56:07.682,4069735000.000000,node_cpu_scaling_frequency_hertz,5,192.168.2.128:9100,node exporter
18:56:07.682,3949982000.000000,node_cpu_scaling_frequency_hertz,6,192.168.2.128:9100,node exporter
18:56:07.682,3738718000.000000,node_cpu_scaling_frequency_hertz,7,192.168.2.128:9100,node exporter
18:56:07.682,3851177000.000000,node_cpu_scaling_frequency_hertz,8,192.168.2.128:9100,node exporter
18:56:07.682,3769274000.000000,node_cpu_scaling_frequency_hertz,9,192.168.2.128:9100,node exporter
18:56:08.748,4056678000.000000,node_cpu_scaling_frequency_hertz,0,192.168.2.128:9100,node exporter
18:56:08.748,4076785000.000000,node_cpu_scaling_frequency_hertz,1,192.168.2.128:9100,node exporter
18:56:08.748,4091844000.000000,node_cpu_scaling_frequency_hertz,10,192.168.2.128:9100,node exporter
18:56:08.748,4148210000.000000,node_cpu_scaling_frequency_hertz,11,192.168.2.128:9100,node exporter
18:56:08.748,4050283000.000000,node_cpu_scaling_frequency_hertz,2,192.168.2.128:9100,node exporter
18:56:08.748,4078404000.000000,node_cpu_scaling_frequency_hertz,3,192.168.2.128:9100,node exporter
18:56:08.748,4058233000.000000,node_cpu_scaling_frequency_hertz,4,192.168.2.128:9100,node exporter
18:56:08.748,4073406000.000000,node_cpu_scaling_frequency_hertz,5,192.168.2.128:9100,node exporter
18:56:08.748,4102564000.000000,node_cpu_scaling_frequency_hertz,6,192.168.2.128:9100,node exporter
18:56:08.748,4049803000.000000,node_cpu_scaling_frequency_hertz,7,192.168.2.128:9100,node exporter
18:56:08.748,4019854000.000000,node_cpu_scaling_frequency_hertz,8,192.168.2.128:9100,node exporter
18:56:08.748,4022472000.000000,node_cpu_scaling_frequency_hertz,9,192.168.2.128:9100,node exporter
18:56:09.819,4049715000.000000,node_cpu_scaling_frequency_hertz,0,192.168.2.128:9100,node exporter
18:56:09.819,3857408000.000000,node_cpu_scaling_frequency_hertz,1,192.168.2.128:9100,node exporter
18:56:09.819,3879284000.000000,node_cpu_scaling_frequency_hertz,10,192.168.2.128:9100,node exporter
18:56:09.819,4053396000.000000,node_cpu_scaling_frequency_hertz,11,192.168.2.128:9100,node exporter
18:56:09.819,3892430000.000000,node_cpu_scaling_frequency_hertz,2,192.168.2.128:9100,node exporter
18:56:09.819,3876097000.000000,node_cpu_scaling_frequency_hertz,3,192.168.2.128:9100,node exporter
18:56:09.819,3941866000.000000,node_cpu_scaling_frequency_hertz,4,192.168.2.128:9100,node exporter
18:56:09.819,3845384000.000000,node_cpu_scaling_frequency_hertz,5,192.168.2.128:9100,node exporter
18:56:09.819,4044358000.000000,node_cpu_scaling_frequency_hertz,6,192.168.2.128:9100,node exporter
18:56:09.819,3914950000.000000,node_cpu_scaling_frequency_hertz,7,192.168.2.128:9100,node exporter
